"id","firstname","lastname","candidate_name","social_security_number","faculty_id","address","postal_information","email","electoral_alliance_id","candidate_number","notes","numbering_order","created_at","updated_at","cancelled","marked_invalid","phone_number"
1,"Ahto Aleksis","Apajalahti","Apajalahti, Ahto","250955-027E",4,"Testiosoite 1","10000 Helsinki","etunimi.sukunimi.0@example.com",29,2,,0,"2018-11-02 11:41:50.011328","2018-11-02 11:41:50.011328",FALSE,FALSE,
2,"Joni Petteri","Hanski","Hanski, Joni","230185-0141",7,"Testiosoite 2","10001 Helsinki","etunimi.sukunimi.1@example.com",29,3,,4194304,"2018-11-02 11:41:50.023424","2018-11-02 11:41:50.023424",FALSE,FALSE,
3,"Joonas Mikael","Mäkinen","Mäkinen, Joonas","060686-046C",11,"Testiosoite 3","10002 Helsinki","etunimi.sukunimi.2@example.com",29,4,,6291456,"2018-11-02 11:41:50.034862","2018-11-02 11:41:50.034862",FALSE,FALSE,
4,"Charlotta Mari","Söderholm","Söderholm, Lotta","230662-0410",9,"Testiosoite 4","10003 Helsinki","etunimi.sukunimi.3@example.com",29,5,,7340032,"2018-11-02 11:41:50.046136","2018-11-02 11:41:50.046136",FALSE,FALSE,
5,"Anni Julia","Toivanen","Toivanen, Julia","120260-0692",1,"Testiosoite 5","10004 Helsinki","etunimi.sukunimi.4@example.com",26,6,,0,"2018-11-02 11:41:50.057934","2018-11-02 11:41:50.057934",FALSE,FALSE,
6,"Tianyan","Liu","Liu, Tianyan","311152-0607",10,"Testiosoite 6","10005 Helsinki","etunimi.sukunimi.5@example.com",26,7,,4194304,"2018-11-02 11:41:50.06931","2018-11-02 11:41:50.06931",FALSE,FALSE,
7,"Feiran","Long","Long, Feiran","241275-041U",6,"Testiosoite 7","10006 Helsinki","etunimi.sukunimi.6@example.com",26,8,,6291456,"2018-11-02 11:41:50.080232","2018-11-02 11:41:50.080232",FALSE,FALSE,
8,"Anna","Bessonova","Bessonova, Anna","150659-061P",8,"Testiosoite 8","10007 Helsinki","etunimi.sukunimi.7@example.com",26,9,,7340032,"2018-11-02 11:41:50.091424","2018-11-02 11:41:50.091424",FALSE,FALSE,
9,"Søren Berg","Rasmussen","Rasmussen, Søren","060683-048N",5,"Testiosoite 9","10008 Helsinki","etunimi.sukunimi.8@example.com",26,10,,7864320,"2018-11-02 11:41:50.102727","2018-11-02 11:41:50.102727",FALSE,FALSE,
10,"Johanna","Leinius","Leinius, Johanna","110478-0247",2,"Testiosoite 10","10009 Helsinki","etunimi.sukunimi.9@example.com",26,11,,8126464,"2018-11-02 11:41:50.113769","2018-11-02 11:41:50.113769",FALSE,FALSE,
11,"Stéphanie","Gagné","Gagné, Stéphanie","130257-081A",4,"Testiosoite 11","10010 Helsinki","etunimi.sukunimi.10@example.com",26,12,,8257536,"2018-11-02 11:41:50.124419","2018-11-02 11:41:50.124419",FALSE,FALSE,
12,"Alessandro","Franchin","Franchin, Alessandro","310579-0888",7,"Testiosoite 12","10011 Helsinki","etunimi.sukunimi.11@example.com",26,13,,8323072,"2018-11-02 11:41:50.135303","2018-11-02 11:41:50.135303",FALSE,FALSE,
13,"Marja-Liisa","Helenius","Helenius, Marja-Liisa","040575-012B",11,"Testiosoite 13","10012 Helsinki","etunimi.sukunimi.12@example.com",26,14,,8355840,"2018-11-02 11:41:50.146372","2018-11-02 11:41:50.146372",FALSE,FALSE,
14,"Naveen Kumay","Chenna","Chenna, Naveen","290778-092E",9,"Testiosoite 14","10013 Helsinki","etunimi.sukunimi.13@example.com",26,15,,8372224,"2018-11-02 11:41:50.157393","2018-11-02 11:41:50.157393",FALSE,FALSE,
